recipename,instructions,cuisine,course_type,dietary_preference
Creamy Skillet Chicken,"[""Heat olive oil in 12-inch nonstick skillet, over medium-high heat and brown chicken, turning once. Remove chicken; keep warm."", ""Bring Lipton(R) Recipe Secrets(R) Vegetable Soup Mix blended with milk and water to a boil in same skillet. Reduce heat and simmer 4 minutes."", ""Stir in cream cheese until melted and simmer 3 minutes. Add chicken and cook 5 minutes or until chicken is thoroughly cooked. Serve with warm buttermilk biscuits, hot cooked rice or noodles.""]",italian,main,omnivorous
Crawfish Etouffee,"[""Melt butter in skillet; saute onions, bell pepper and celery until tender."", ""Add any crawfish fat and let cook 15 to 20 minutes on low."", ""Add crawfish tails and cook another 15 minutes."", ""Season well."", ""Serve over rice.""]",cajun,main,omnivorous
Dijon Chicken,"[""Cook noodles."", ""Brown chicken and onions."", ""When brown and tender, remove only chicken from skillet."", ""Put in mustard, parsley, soup and milk."", ""Heat for 5 minutes, then return chicken and heat through.""]",french,main,omnivorous
Easy Black Bean Dip,"[""Blend all ingredients until desired consistency (food processor is best). Serve hot or cold with New York Style brand Premium Deli Snacks.""]",mexican,starter,vegan
Watergate Pistachio Cake,"[""Mix well and bake at 350\u00b0 for 30 to 35 minutes in greased 9 x 13-inch pan or layer.""]",american,dessert,omnivorous
Sausage And Bean Slow Cooker Dinner,"[""Heat oil in a large skillet over medium heat. Cook the sausage until well browned, 5 to 7 minutes."", ""Stir in the onion; cook and stir until lightly browned, 5 to 7 minutes more."", ""Remove the sausages, and cut them into 1 1/2-inch to 2-inch pieces."", ""Pour the beef stock, tomatoes, tomato puree, and hot sauce into the skillet with the onion and bring the mixture to a simmer, scraping up any brown bits from the bottom."", ""Place the carrots into a slow cooker, followed by the garbanzo beans and kidney beans."", ""Arrange the sausage pieces on top."", ""Pour the sauce from the skillet into the slow cooker."", ""Cook on Low for 4 to 6 hours.""]",american,main,omnivorous
No Fat Oatmeal Apple Raisin Muffins,"[""Beat egg; stir in remaining ingredients, mixing just until moistened."", ""Pour into 12 greased muffin cups until 3/4 full."", ""Bake at 400\u00b0 for 15 to 20 minutes."", ""Serve cool or piping hot with butter.""]",american,dessert,omnivorous
Beef And Rice,"[""Cook ground beef and onions until brown."", ""Cook rice and drain. Mix these 2 ingredients and add all other ingredients."", ""Let simmer 10 minutes."", ""Top with cream cheese."", ""Cool and serve.""]",american,main,omnivorous
Eggplant Spread,"[""Pierce the eggplants in several places with a fork and grill them on a rack set about 4 inches over glowing coals for 30 to 35 minutes, or until they are very soft."", ""(Alternatively, the eggplants may be broiled on the rack of a broiler pan under a preheated broiler about 6 inches from the heat, turning them, for 30 to 35 minutes, or until they are soft.)"", ""Let the eggplants cool until they can be handled, halve them, and discard as many seeds as possible."", ""Scrape the flesh away from the skin and squeeze the eggplant gently between paper towels to remove as much excess liquid as possible."", ""In a bowl mash the eggplant coarse, stir in the onion, the garlic, the minced herbs, the oil, the vinegar, the capers, and salt and pepper to taste, and let the spread stand, covered and chilled, for 3 hours to allow the flavors to develop."", ""The eggplant spread may be made 1 day in advance and kept covered and chilled."", ""Garnish the eggplant spread with the parsley sprigs and serve it with the pita wedges.""]",mediterranean,side,vegan
Houston Restaurant'S Baked Potato Soup,"[""Bake potatoes until done; peel and chop into large chunks. Melt butter in large pan."", ""Over low heat, slowly stir in cheese and sour cream until melted and well combined."", ""Add potatoes, green onions, salt and pepper."", ""Simmer for approximately 10 minutes."", ""Remove from heat and refrigerate overnight."", ""On day of serving, heat soup until hot."", ""Pour into soup mugs and sprinkle bacon bits or crisply fried bacon (crumbled) on top.""]",american,starter,omnivorous
Pumpkin Pie Flans Recipe,"[""Preheat the oven to 350 degrees F. Arrange 8 (6-ounce) ramekins in a 9-inch by 13-inch baking pan and place in the oven to heat."", ""Cook 1 cup of the sugar, 1/4 cup water, and the cream of tartar in a large frying pan over medium-high heat, stirring occasionally, until the sugar turns deep golden and a caramel forms, 8 to 12 minutes."", ""Remove the ramekins from the oven and pour about 1 tablespoon of the caramel inside each dish."", ""Tilt the dishes until the caramel thickens and evenly coats the bottoms and 1 to 2 inches of the sides."", ""Bring a kettle of water to the boil."", ""In a bowl, whisk the remaining 2/3 cup of sugar with the remaining ingredients (except the whipped cream and graham crackers)."", ""Pour the mixture into the ramekins."", ""Set the baking pan onto an oven rack."", ""Pour enough boiling water into the pan to come halfway up the sides of the ramekins."", ""Bake until the center of the flans barely jiggles and a knife inserted in the center comes out clean, about 25 minutes."", ""Remove the ramekins from the water and cool on a rack, then chill, covered, at least 4 hours."", ""5."", ""Run a thin metal spatula around the inside of each ramekin, then invert onto a deep plate."", ""Set the the ramekins in hot water for a few minutes to loosen the remaining caramel (not all of it will come off); scrape the caramel over the flans."", ""Serve with a little fresh whipped cream and crumbled graham crackers.""]",american,dessert,vegetarian
Salmon with Creamy Tomato Dill Sauce,"[""In casserole dish, combine butter, shallots and garlic."", ""Microwave, covered, on High for 2 minutes to soften."", ""Add tomato."", ""Microwave, covered, on High for 2 to 3 minutes or until tomato is sauce-like."", ""In a small bowl, blend cornstarch with 1 tsp (5 mL) cold water."", ""Stir into casserole dish along with cream and dill."", ""Set aside."", ""Arrange salmon in baking dish."", ""Pour wine over top."", ""Cover with plastic wrap and turn back one corner to vent."", ""Microwave on Medium (50%) for 4 to 7 minutes or until fish is opaque."", ""Drain liquid from dish into tomato mixture."", ""Season with salt and pepper to taste."", ""Keep salmon covered while finishing sauce."", ""Microwave sauce, uncovered, on High for 2 to 3 minutes, stirring once, until it comes to a boil and thickens slightly."", ""Place salmon fillets on serving plates and spoon sauce over top.""]",european,main,omnivorous
Saskatoon Berry Pie,"[""Preheat oven to 375 F"", ""Wash and clean the berries"", ""Place then in a large mixing bowl and toss with sugar/spice cornstarch."", ""Bake at 375 for 40 minutes or until top crust is flaky brown"", ""Pile high in pie shell and sprinkle with remaking sugar mix.""]",canadian,dessert,omnivorous
Double Baked Potatoes,"[""Wash and slice potatoes in half in the direction that will best offer a tipless boat."", ""Wrap in foil and bake for one hour or 1 hour 15 minutes in a 350F oven - you will know they are ready when you squeeze them and they give - if they don't give - they aren't quite ready yet."", ""Remove from oven and cool."", ""Scoop all your potato flesh into a large bowl - pick the 6 best boats and Discard the remaining."", ""Add cream cheese - pepper salt and butter and mash until nicely blended and smooth."", ""Scoop the mash potato back into the boats - heap them up."", ""Sprinkle bacon bits and chives / onion greens on top."", ""Put back in a 350F oven for approximately 30 minutes - you just want them warmed up again but don't want to cause a crust."", ""and EAT !"", ""Buon Apetite !"", ""These potatoes are pictured with a nice top sirlon beef steak marinated in my \""Red Wine Beef Marinade\"" - have a peek - they go really well together.""]",american,side,vegetarian
Crunchy Cinnamon Bundt Cake,"[""Preheat the oven to 350 degrees. Coat a 10-cup bundt pan with canola cooking spray. Use a silicone brush to get in all the groves. Dust lightly with turbinado sugar getting in all the groves, middle and up the sides. Turn the pan as you sprinkle. Set the pan aside on a 1/2 sheet pan."", ""In a medium mixing bowl whisk together the flour, baking powder, cinnamon and salt. Set aside."", ""With an electric mixer on medium high speed, cream the butter, shortening, sugar and vanilla extract until light and fluffy; about 3 minutes."", ""Add the eggs, one at a time and beat just until blended."", ""On low speed, add the flour mixture and half and half in 5 increments, starting and ending with the flour. Beat at medium speed between additions to blend. Scrape the batter evenly into the bundt pan and even the top. Tap lightly on the counter to settle the batter. Bake for about 45 minutes or until golden brown and a cake tester comes out clean. Cool in the pan 15 minutes and then \r\nturn out on a rack to cool completely before storage."", ""COOKS NOTES: After baking many bundt pans in decorative pans here are some easy hints:\r\n1. Use Pam canola cooking spray and then spread with a silicone brush.\r\n2. For an easy cake release from the pan; cool no more than 15 minutes. Shake the pan gently on the counter to release the cake from the sides of the pan before turning over.""]",american,dessert,vegetarian
Super Hot Chili,"[""In a dutch oven brown ground beef, onion, chili powder, olive oil, and garlic clove; drain off grease."", ""Combine remaining ingredients with ground beef mixture."", ""Simmer 1 hour, stirring frequently.""]",tex-mex,main,omnivorous
Brown Butter Tomatoes,"[""Core the tomatoes and slice them 1/3-inch thick. Divide the tomato slices among 4 plates, overlapping the slices just a little."", ""Place the butter in a small heavy-bottomed saucepan and set over medium low heat. Let the butter melt completely. It will begin bubbling. Let the butter simmer away, cooking off its water, until it begins to smell nutty and brown. Swirl the pan every 30 seconds or so. When the butter turns the color of a hazelnut, remove it from the heat. Use a soup spoon to ladle it over the tomatoes. They'll sizzle! You want to dress the tomatoes with the butter as if you were pouring ganache over a cake -- be generous!"", ""Season the tomatoes with salt and pepper, then rush the plates to the table so everyone can taste the tomatoes while the butter is hot! Mop up the butter and tomato juices with good bread. Toast to summer!""]",american,side,vegetarian
Dump Cake,"[""Pour pie filling in a glass 9 x 13-inch baking dish."", ""Add crushed pineapple."", ""Sprinkle dry cake mix over top of fruit."", ""Pour liquid Butter Buds on top."", ""(Try to pour liquid evenly over cake mix so all of cake mix is moistened.)"", ""Bake at 350\u00b0 until golden brown (approximately 40 minutes)."", ""Top with Cool Whip and serve warm.""]",american,dessert,vegetarian
Lentil Soup,"[""Simmer ingredients for an hour or so, then add cooked potatoes and carrots, about 2 cups diced potatoes and 1 cup diced carrots. Add water to soup to taste."", ""Cook for about another 30 minutes or so.""]",middle eastern,main,vegan
Chicken Elegante,"[""Saute in butter the celery and onion."", ""Set aside."", ""Cut, bone and cut into pieces the chicken breasts. Mix with sour cream, mushroom soup, mushrooms, lemon pepper and pepper."", ""Spread in 13 x 9 x 2-inch casserole dish.""]",american,main,omnivorous
Broccoli Salad Raw Recipe,"[""Pour dressing over salad ingredients and chill."", ""Makes large bowl."", ""Some chick peas or possibly green beans may be added to broccoli for a different taste.""]",american,side,vegan
No-Bake Cherry Balls,"[""Dry the cherries on paper towel."", ""Cream the butter and gradually mix in the icing sugar and orange juice."", ""Add coconut and mix well."", ""Note: this mixture will be soft."", ""Roll a small portion of the coconut mixture evenly around each cherry and then roll in graham wafer crumbs."", ""Place on wax paper and keep cool.""]",american,dessert,vegetarian
Diabetic Spice Cookies,"[""Boil water, shortening, raisins and spices together for 3 minutes."", ""Let cool; beat in eggs."", ""Dissolve salt, soda and saccharin tablets in water and add to eggs."", ""Sift flour and baking powder and add and mix well."", ""Drop by teaspoonfuls on ungreased cookie sheet."", ""Bake at 350\u00b0 for 12 to 15 minutes.""]",american,dessert,omnivorous
Turkey Pot Pie Soup,"[""In a large soup pot add the butter and the onions and cook for 3-4 minutes. Then add the flour and cook for another minute."", ""Slowly add in the chicken broth and the milk while whisking so there are no lumps."", ""Then add in the remaining ingredients. Cover with a lid and cook on simmer for 10-15 minutes or until the potatoes are fork tender. Then serve.""]",american,main,omnivorous
Vietnamese Coffee Flan,"[""Put oven rack in middle position and preheat oven to 350\u00b0 F."", ""In a small, heavy saucepan, cook the sugar over medium heat, without stirring, until it begins to melt. Continue to cook, stirring occasionally, until the sugar turns a deep golden color. Immediately pour into a 9-inch round ceramic or glass baking dish or a metal cake pan that's at least 2 inches deep. Tilt the dish to coat bottom (use caution, the dish will be hot). Cool until hardened, 10 to 15 minutes."", ""Blend the remaining ingredients in a blender, until smooth. Pour custard through a fine-mesh sieve over caramel in dish, then transfer dish to a large roasting pan and place it in the oven. Pour enough boiling-hot water into roasting pan to reach halfway up the sides of custard dish. Bake until custard is set but still wobbly in center when gently shaken and a knife inserted in center comes out clean, 1 to 1 1/4 hours. Transfer dish to a rack to cool completely, about 40 minutes. Chill flan, covered, until cold, at least 8 hours."", ""To unmold flan, run a thin knife around edge of dish to loosen the custard. Invert a large platter with a lip over the baking dish. Holding dish and platter securely together, quickly invert and turn out flan onto platter. Caramel will pour out over and around flan.""]",vietnamese,dessert,omnivorous
Taco Salad,"[""Cook your hamburger over medium heat until well browned."", ""(Option to make the hamburger have more flavor is adding a packet of taco seasoning and cooking according to package instructions)."", ""Drain the fat and let cool."", ""Cut lettuce and dice your tomatoes."", ""Then cut your cheese into small cubes (or you could always just use shredded cheese also!)"", ""and mix everything in a large bowl."", ""Add olives."", ""Take your chips and put them in a Ziploc bag and crunch them (do not totally smash them into small pieces)."", ""Use as many chips as you want."", ""Add the chips into the bowl."", ""Add the hamburger in and stir everything together."", ""Next and final step is to add 3/4 of the jar of dressing (if you are planning on storing some for the next day I suggest to use less dressing so it will not be as soggy) then stir and top with more chips as necessary!"", ""Enjoy""]",mexican,main,omnivorous
Russian Dressing,"[""Combine all ingredients until well blended. Refrigerate.""]",russian,side,omnivorous
Corn Casserole,"[""Mix all ingredients together in a bowl."", ""Place mixed ingredients in a 9 inch x 13 inch baking pan (non-stick pans work good.)"", ""Bake at 350 degrees (175 C.) for 1 hour or until the top is golden brown.""]",southern american,side,vegetarian
Vanilla Cream With Coconut and Lime,"[""Boil milk with the opened vanilla bean."", ""During this time stir egg yolks, sugar and cornstarch together in a pan until incorporated (dont cook yet)."", ""Add hot milk (vanilla bean removed) , lime zest and coconut milk to the egg mixture and stir continuously by medium heat until thick and creamy."", ""Add rum and stir well."", ""Fill this delicious cream in serving cups and decorate with lime zest strips."", ""Cool at least 2 hours and serve chilled."", ""Note: for a special touch add 1 teaspoon rum over chilled cream!""]",french,dessert,vegetarian
Sue'S Cheesecake,"[""Beat cream cheese, eggs, 1 c. sugar and 1 tsp. vanilla until smooth. Pour into crumb crust and bake at 325\u00b0 for 25 minutes. Beat sour cream, 1 tsp. vanilla and 1/2 c. sugar. Spread on top of cheese mixture and bake 7 minutes.""]",american,dessert,omnivorous
Hawaiian Mango Mochi,"[""Mix dry ingredients together in a large bowl."", ""Add all other ingredients except for mango and whisk until well combined."", ""Peel and slice mango, and reserve juices."", ""Pour batter into a greased, 11\"" x 7\"" x 2\"" rectangular baking pan."", ""Place mango slices on top, then drizzle over any remaining mango juice. If desired, use a knife to swirl batter slightly to created a marbled effect."", ""Bake in a preheated 350 degree oven for an hour, until a toothpick inserted into the center comes out clean."", ""Let cool in pan, then slice into squares."", ""Note: store mochi wrapped in plastic wrap at room temperature (will harden if refrigerated).""]",hawaiian,dessert,vegetarian
Funday Sunday,"[""Mix and put in bottom of 9 x 13-inch pan.""]",american,dessert,vegetarian
Little bacon and egg breakfast pies recipe,"[""Pulse the flour, butter, salt and paprika in a food processor until it resembles breadcrumbs."", ""Add 2 tbsp cold water, or enough to just bind your pastry."", ""Bring the pastry together, wrap in cling film and chill for 15 minutes in the fridge."", ""Meanwhile, lightly cook the bacon rashers and allow to cool."", ""They dont need to be too crispy because they will have a second cook in the oven."", ""On a floured surface, roll your pastry to the thickness of a 1 coin."", ""Carefully line the tartlet tins, cutting off any excess pastry."", ""Again, chill the pastry in the fridge for 30 minutes this helps prevent shrinking."", ""Preheat the oven to 190C/fan 170C/gas mark 5."", ""Line each tart case with baking paper and fill with baking beans."", ""Place on a baking sheet and cook in the oven for 20 minutes."", ""Remove the baking beans and the paper and return the cases to the oven for a further 5 minutes."", ""The base of the case should now feel dry to the touch."", ""Reduce the oven temperature to 180C/fan 160C/gas mark 4."", ""Divide the bacon rashers, putting a rasher in each case dont be afraid to make them stand above the pastry, it's lovely seeing them through the filling."", ""Carefully crack an egg into each case and drop two halved tomatoes onto the surface."", ""Drizzle a little cream over each egg, just as much as the tart case will hold."", ""Season well and lie a slice of mushroom over each tart."", ""Finish by sprinkling over some chopped parsley."", ""Cook in the oven for 15 minutes or until the egg is just set.""]",aussie,main,omnivorous
Mashed Potato Casserole,"[""Stir together the cream cheese, garlic salt, pepper and sour cream."", ""Set aside."", ""Peel and cut potatoes into chunks and boil till soft."", ""Mash (or with electric mixer) the potaotes till they are in fine lumps."", ""Add the cream cheese mixture and beat till fluffy and smooth."", ""Spoon into well buttered 2-quart casserole."", ""Dot with paprika."", ""Bake covered in a 400 degree oven for 25 minutes (if made the day before and refrigerated, cook for 50 minutes)."", ""Uncover and bake 10 additional minutes to a golden brown.""]",american,side,omnivorous
Oatmeal Scotchies,"[""Preheat oven to 375\u00b0F."", ""To prepare as bars, grease a 15x10 inch jelly roll pan."", ""Combine flour, baking soda, salt, and cinnamon in a small bowl. Beat shortening, sugar, eggs, and orange peel (if using) in a large bowl until creamy. Gradually beat in flour mixture and water. Stir in oats and butterscotch chips."", ""Spread into prepared pan. Bake for 18-22 minutes or until golden brown. Cool completely in the pan on a wire rack. Cut into bars."", ""Notes:"", ""This makes 48 bars, if prepared as above. These can also be made as drop cookies, with the baking time adjusted down for the smaller size. If making drop cookies, baking time should be 12-15 minutes, or until golden brown."", ""I don't typically include the orange peel as I like the taste of these better without it.""]",american,dessert,omnivorous
Grilled Corn And Avocado Lime Quinoa Salad,"[""Heat up your grill on high, grill the corn on all sides until it is nice and charred in spots. Remove it from the grill to a board to cool, then carefully cut all the kernels off the cob and set aside."", ""In a large serving bowl (this is a one bowl salad) add the lime juice, olive oil, honey and salt and pepper. Whisk the dressing thoroughly."", ""Add the cooked and cooled quinoa to the dressing, along with the cooled corn kernels, red onion, avocado, jalapeno and cilantro. Stir gently to combine. Refrigerate the salad for at least an hour until nice and cold."", ""Serve with extra lime for spritzing on at the last minute!""]",mexican,side,vegetarian
Pimm'S Cucumber Cooler,"[""Place first 3 ingredients in an ice-filled pitcher. Stir in Pimm's No. 1, lemonade, and vodka. Serve in ice-filled glasses. Garnish, if desired.""]",british,beverage,vegan
donair meat,"[""mix all ingredients together in layers."", ""place small amounts of mixture in food processer and mix well."", ""until it is like pate mixture."", ""when all is mixed form into loaves and bake at 300 for 2 hours.""]",middle eastern,main,omnivorous
Beef-Macaroni Casserole,"[""Cook macaroni but do not rinse."", ""To this mixture, add tomatoes, butter and spices."", ""Brown ground beef and onion until onion is clear."", ""Drain."", ""Add beef and onion to macaroni mixture."", ""Simmer for 10 minutes."", ""Add cheese."", ""Mix well and pour into baking dish."", ""Cook at 375\u00b0 for 30 minutes.""]",american,main,omnivorous
Forgotten Kisses (Mint Meringues),"[""Preheat oven to 350 F for at least 15 minutes."", ""Beat egg whites until foamy using an electric mixer. Add salt and cream of tartar and beat until stiff but not dry. Add sugar slowly, beating well until stiff and glossy. Fold in the extract and food coloring. Then fold in the chocolate chips."", ""Drop by teaspoonfuls onto a greased cookie sheet. Place in the oven, close the door and immediately turn off the heat. Leave in the oven for 5 hours or overnight. Do not open oven during this time."", ""Cookies should be crisp and dry inside."", ""If cookies have not dried completely during this time due to high humidity or if your oven doesn't seal well, put meringues back into the oven. Then turn oven on to 200 F until it's preheated. Then turn off the oven again and leave the cookies in there for 2-3 additional hours.""]",french,dessert,omnivorous
Pastor'S Favorite Chocolate Pie,"[""Melt chocolate bars in a double boiler."", ""Slowly stir in milk and mix well."", ""Add\tmarshmallows,"", ""a few at a time, until all are melted."", ""Remove"", ""mixture from heat and cool thoroughly at room temperature."", ""When\tcool"", ""to"", ""touch,"", ""fold\tin whipped cream"", ""and pour"", ""into\tbaked"", ""pie"", ""shell."", ""Chill"", ""well before serving. Serves 6 to 8.""]",american,dessert,vegetarian
Peanut Butter Cookies,"[""Heat oven to 375\u00b0."", ""Combine peanut butter, Crisco, light brown sugar, milk and vanilla in a large bowl."", ""Beat at medium speed of electric mixer until well blended."", ""Add flour to creamed mixture at low speed."", ""Mix just until blended.""]",american,dessert,vegetarian
Sage Seasoning Blend,"[""In a spice grinder, combine sage, marjoram, thyme, celery seeds and salt and pulse into a ground powder.""]",american,side,vegan
Broccoli Rice Casserole,"[""Melt butter in saucepan; saute onions and celery."", ""Add cheese and milk."", ""In casserole, put soup, rice, broccoli and water."", ""Mix. Pour cheese mixture over and bake at 350\u00b0 for 25 to 30 minutes.""]",american,side,vegetarian
Scallion Biscuits,"[""Preheat oven to 450F."", ""In a small skillet or saucepan melt butter over moderate heat and cook scallion, seasoned with salt, until softened but not browned."", ""In a bowl whisk together flour, sugar, baking powder, and salt."", ""Blend in shortening with pastry blender or fingertips until mixture resembles coarse meal and stir in milk to form a soft dough."", ""In a bowl knead dough gently with lightly floured hands 8 times."", ""On an ungreased small baking sheet pat dough into a 4-inch square and cut into quarters."", ""Separate quarters on baking sheet and brush each with some scallion butter."", ""Bake biscuits 15 minutes, or until tops are golden, and serve warm.""]",southern,side,omnivorous
Tallerina,"[""Cook beef in skillet until brown."", ""Add bell pepper and onion. Cook until tender."", ""Add chili powder, tomato and corn."", ""Cook 15 minutes."", ""Boil noodles as directed; drain."", ""Add meat mixture.""]",american,main,omnivorous
Chocolate-Strawberry Jiggle-Puff Pie,"[""Preheat the oven to 400 degrees."", ""In a 13 by 9-inch pan, add the pretzels, butter, and 2 tablespoons granulated sugar."", ""Stir to combine."", ""Press mixture into the bottom of the pan and bake 8 to 10 minutes."", ""Remove from the oven and set aside to cool."", ""In a stand mixer or a medium bowl with a hand-mixer, add the cream cheese, 2 tablespoons granulated sugar, powdered sugar, and cocoa powder, and beat until well blended."", ""In a clean bowl, combine 2 cups of the heavy cream, vanilla, 1 tablespoon sugar, and a pinch of salt and beat until soft peaks form."", ""Gently fold the whipped cream into cream cheese mixture and spread it evenly over the cooled pretzel crust."", ""Add the pineapple juice to a small pot over medium-high heat, and bring to a simmer."", ""Remove from the heat, add the gelatin powder and stir to dissolve."", ""Add the strawberries and let mixture come to room temperature or quick chill it over a bowl filled with ice water while whisking."", ""Pour the gelatin mixture over cream cheese layer and refrigerate until set, about 1 hour."", ""Whip the remaining 2 cups of heavy cream with remaining 2 tablespoons sugar."", ""When the strawberry gelatin layer is set, smooth the whipped cream over the top and sprinkle evenly with chocolate shavings."", ""Refrigerate at least 2 hours before serving.""]",american,dessert,omnivorous
Seafood Cocktail Sauce,"[""Combine all ingredients and mix well."", ""Serve with chilled cooked shrimp or crab cakes."", ""Makes 1 cup.""]",american,side,omnivorous
Japanese Fruit Cake,"[""MAKE THE CAKE: Preheat the oven to 350\u00b0. Butter and flour two 9-inch round cake pans. Sift the cake flour with the baking powder, baking soda and salt. In a large bowl, using an electric mixer, beat the butter with the granulated sugar at high speed until light and fluffy, about 5 minutes. Beat in the eggs, 1 at a time, beating well after each addition."", ""Stir the vanilla into the buttermilk. Using a large rubber spatula, stir the dry ingredients into the batter in 2 batches, alternating with the butter-milk. Scrape half of the batter into 1 of the prepared cake pans and smooth the surface."", ""Fold the walnuts, currants, cinnamon, allspice and cloves into the remaining half of the cake batter. Scrape the spice batter into the second cake pan and smooth the surface. Bake the cakes in the middle of the oven for 35 minutes, or until a toothpick inserted in the center of each comes out clean. Transfer the cakes in their pans to wire racks and let cool for 15 minutes, then turn them out onto the racks and let cool completely. Leave the oven on."", ""MEANWHILE, MAKE THE COCONUT FROSTING: Spread the coconut on a large rimmed baking sheet and bake, stirring occasionally, until golden brown, about 8 minutes. Transfer to a plate and let cool."", ""In a medium saucepan, bring 1 inch of water to a simmer over moderate heat. In a medium stainless steel bowl, combine the egg whites with the confectioners' sugar, water and cream of tartar. Using clean beaters, beat at medium speed until blended. Set the bowl over the simmering water and beat at high speed until thick and fluffy, about 7 minutes. Remove the bowl from the pan and beat the vanilla and lemon zest into the frosting."", ""Using a serrated knife, halve each cake layer horizontally. Set 1 plain cake layer on a cake plate and spread with 1 cup of the frosting. Sprinkle 1/2 cup of the toasted coconut over the frosting, then spoon 1/2 cup of the frosting around the edge and in the center of the cake. Top with a spice cake layer. Continue frosting and sprinkling with this and the remaining cake layers, alternating the plain and spice cakes. Spread the top of the cake with the remaining frosting and sprinkle with the remaining coconut. Cut into wedges and serve."", ""Make Ahead: The 2 uncut cake layers can be wrapped in plastic and stored overnight at room temperature. The frosted cake can be stored at room temperature for up to 4 hours.""]",japanese,dessert,omnivorous
Pumpkin Waffles,"[""Lightly spoon flour into a dry measuring cup; level with a knife. Combine flour, baking powder, and next 4 ingredients in a large bowl; stir well with a whisk."", ""Combine egg, brown sugar, oil, pumpkin, and buttermilk in a bowl; stir with a whisk until blended. Add pumpkin mixture to flour mixture, and stir until well combined."", ""Coat a waffle iron with cooking spray; preheat. Spoon about 1/4 cup of batter per waffle onto hot waffle iron, spreading batter to edges. Cook 5 to 7 minutes or until steaming stops; repeat with remaining batter.""]",american,dessert,vegetarian
Charm Treats,"[""1."", ""In a large pot over low heat, melt butter and marshmallows together."", ""2."", ""When melted, take pot off heat and add both cereals, then mix quickly."", ""3."", ""Spread the cereal mixture into a lightly greased 9x13 pan and smooth the top."", ""4."", ""Wait 20 minutes, then cut and enjoy!""]",american,dessert,omnivorous
Creamy Chocolate(Serves 2)  ,"[""Blend all ingredients on medium until creamy.""]",american,dessert,vegetarian
Beef 'N Dumplings Recipe,"[""Preheat oven to 350 degrees."", ""Place steak in 3-qt casserole."", ""Cover with onion slices."", ""Add in bay leaf."", ""Combine soups, mushrooms, Worcestershire and flour."", ""Pour over meat."", ""Cover and bake 2 hrs or possibly till tender."", ""Remove bay leaf; set oven at 400 degrees."", ""Place peas on meat."", ""Mix dumpling ingredients till moist."", ""Drop by rounded tsp.. Cover."", ""Bake 20-25 min.""]",american,main,omnivorous
Aunt Ava Rainey'S Peanut Butter Fudge,"[""Combine sugar, corn syrup, milk and salt."", ""Cook to soft boil. Remove from heat and add remaining ingredients."", ""Stir until peanut butter is melted."", ""Beat 2 minutes."", ""Pour on platter covered with waxed paper."", ""Cool and cut in squares.""]",american,dessert,vegetarian
Magic Bars,"[""Melt butter, sprinkle crumbs over butter."", ""Make this in a 9x13 pan."", ""Layer chocolate chips, coconut, nuts and condensed milk."", ""Press down lightly, and bake in oven at 350 F for 25-30 minutes or until lightly brown.""]",american,dessert,omnivorous
Caramelized OnionCranberry Sauce,"[""Combine dried cranberries and wine in glass measuring cup or other non-reactive container."", ""Cover, and let soak 8 hours, or overnight, at room temperature."", ""Heat oil in large skillet over medium heat."", ""Add onions, and season with salt and pepper, if desired."", ""Cook onions 20 to 25 minutes, or until caramelized."", ""Add 1 Tbs."", ""hot water, if necessary, to prevent onions from sticking."", ""Stir in rosemary, and cook 30 seconds."", ""Add soaked cranberries, wine, and 1/2 cup water."", ""Bring to a boil, reduce heat to low, and simmer 5 minutes."", ""Remove from heat, and cool in pan 5 minutes."", ""Transfer mixture to blender or food processor, and puree until smooth."", ""Add more hot water for a smoother sauce."", ""Season with salt and pepper, if desired.""]",american,side,vegetarian
Pumpkin Gratin,"[""Preheat oven to 350F."", ""Spray 9x13-inch baking dish or gratin dish with nonstick spray."", ""Toss pumpkin cubes with garlic, parsley, sage, and salt and black pepper to taste."", ""Transfer to baking dish, and drizzle with olive oil."", ""Bake 1 hour, or until pumpkin begins to soften and brown around the edges, stirring occasionally."", ""Remove from oven, and toss with cheese and breadcrumbs."", ""Bake 15 minutes more, or until top is golden brown.""]",french,side,vegetarian
Basle Flour Soup Recipe,"[""Heat the butter (moderate heat) and, stirring constantly, cook the flour to a chestnut brown."", ""Remove the pan from the heat, add in the warmed stock, mix well and simmer without a lid on a low heat for 45 min."", ""Season with grnd nutmeg and pepper."", ""Serve with grated cheeese."", ""NOTE: Till quite recently it was said which a young woman could not get married till she could prepare a perfect flour soup.""]",swiss,starter,omnivorous
Czech Borsc,"[""Cut meat into small cubes."", ""Cut up fat salt pork and bacon and fry with onions until they are golden."", ""Add paprika and meat and fry, turning over constantly, for about 10 minutes."", ""Pour in beef stock and simmer gently for 30 minutes."", ""Add sauerkraut and vegetables and continue cooking until meat is tender and vegetables are done (about 30-45 min)."", ""Add ketchup."", ""Whip the cream, season with salt and float on top of each serving.""]",czech,main,omnivorous
Slow-Cooker Spinach-Artichoke Dip Chicken,"[""Place chicken in slow cooker; top with artichokes."", ""Whisk next 6 ingredients until blended; pour over artichokes."", ""Cover with lid."", ""Cook on LOW 6 to 8 hours (or on HIGH 3 to 4 hours)."", ""About 1 hour before chicken is ready to serve, cook rice as directed on package, omitting salt."", ""Add spinach to ingredients in slow cooker just before serving; mix well."", ""Serve rice topped with chicken mixture and croutons.""]",american,main,omnivorous
